,Algorithm,Descriptor,R2,RMSE,MSE,RPD,MAE,Explained Var
6,RandomForestRegressor,_CTD,0.6592902491300595,3.4158255777130244,11.66786437735852,1.7131986303837632,2.7981509433962333,0.7077751544393467
6,AdaBoostRegressor,_CTD,0.6553694977086748,3.1544544872646516,9.950583112224091,1.7034254969299183,2.452810985733668,0.6579820636446616
12,BaggingRegressor,_quasi_seq_order,0.6533170890645965,3.401207887551071,11.56821509433962,1.6983757600403409,2.809056603773583,0.654150806473639
4,KNN,_moran_autocorrelation,0.6486611043987078,3.275801500655697,10.730875471698118,1.687084689242566,2.6675471698113205,0.6645660841212409
13,SVR,_pseudo_AAC,0.6478354796839019,3.761336675631252,14.14765358744876,1.6851059036445168,2.818063972120468,0.6478894816741442
9,PLSRegression,_distribution,0.6360956368768493,3.8149308695869464,14.55369753972741,1.6577016458006402,3.119235193991953,0.6420394107201037
9,AdaBoostRegressor,_distribution,0.6341288952016211,3.3442606392244447,11.184079223065895,1.6532401509122312,2.737663043580364,0.7062768004125486
2,DecisionTreeRegressor,_tripeptide_composition,0.6296006939902662,3.5498073293450307,12.601132075471696,1.6431034890315834,2.6679245283018864,0.6698253408996968
6,BaggingRegressor,_CTD,0.6223328734106433,3.660919566921911,13.402332075471707,1.6272167571530356,2.809433962264151,0.6228022152530479
12,SVR,_quasi_seq_order,0.6197332267201479,3.5062702935998917,12.293931371781067,1.6216450854158873,2.656372667951468,0.6461706662577178
12,KNN,_quasi_seq_order,0.61405497971202,3.4829850567667364,12.131184905660383,1.6096715904051484,2.852830188679245,0.6359419600456022
1,SVR,_dipeptide_composition,0.6061580403202366,3.2311948190160384,10.44061995843609,1.5934520825556076,2.5604251625022365,0.6418635727712727
7,PLSRegression,_composition,0.6040044229972037,4.1095832208092435,16.88867424875688,1.5891131899835904,3.214257055862122,0.6041427383537613
2,KNN,_tripeptide_composition,0.596240249738843,3.4399659936888694,11.833366037735852,1.5737599482799112,2.6811320754716985,0.6673265408254986
13,RandomForestRegressor,_pseudo_AAC,0.5911476730220021,3.5288546514334365,12.452815150943394,1.5639280284279964,2.9000943396226417,0.6152399601619797
6,SVR,_CTD,0.5851718119482407,3.230015679813554,10.43300129184142,1.5526224811825091,2.5976249759095418,0.5923284346993117
0,KNN,_aa_composition,0.5812922430661625,3.2056647972694887,10.276286792452833,1.545412770358075,2.509433962264151,0.6183720258946429
9,BaggingRegressor,_distribution,0.5749574932212003,3.621944125091249,13.118479245283014,1.5338532747162676,2.8864150943396227,0.6215552392038644
0,BaggingRegressor,_aa_composition,0.5684050239630501,3.8414639505036186,14.756845283018867,1.5221652731428292,3.0298113207547166,0.5698695614600437
0,AdaBoostRegressor,_aa_composition,0.5624066967757941,3.67393414497636,13.49779210162318,1.511696704999922,3.0154552270762163,0.5643085996926346
8,PLSRegression,_transition,0.5551762368779212,3.52841148059448,12.449687576390927,1.499360309168655,2.950298253510593,0.5552200719393718
3,PLSRegression,_normalized_moreaubroto_autocorrelation,0.554157174529571,4.62952767210276,21.4325264667652,1.4976457859632375,3.615681774926476,0.5562583688934287
14,PLSRegression,_amp_pseudo_AAC,0.5488480225563636,4.008794301034531,16.070431748006932,1.4888075666528264,3.3562355436386984,0.5490726663134466
8,AdaBoostRegressor,_transition,0.5372160065570009,3.6369535081521915,13.227430820460533,1.4699780008920795,2.9978802184986786,0.5451257231502669
10,DecisionTreeRegressor,_conjoint_triad,0.5365985655085703,4.038750974492269,16.31150943396226,1.4689983672264386,3.10377358490566,0.5617818617481023
13,BaggingRegressor,_pseudo_AAC,0.5263352536723849,3.485755379546553,12.150490566037734,1.4529961674155758,2.7822641509433947,0.5838206568381131
14,KNN,_amp_pseudo_AAC,0.520707550475536,3.885250289404887,15.095169811320755,1.4444406642087717,3.0535849056603768,0.5691725470958056
8,RandomForestRegressor,_transition,0.5176004091449637,3.9323729141383637,15.463556735849052,1.4397813198737852,3.2296037735849064,0.5190811672931022
9,KNN,_distribution,0.5127977260564865,3.929420716824724,15.440347169811325,1.4326672942616094,3.2052830188679247,0.537065656704085
