,Algorithm,Index,R2,RMSE,MSE,RPD,MAE,Explained Var
2036,DecisionTreeRegressor,NAKH920103,1.0,5.02651460324187,25.26584905660378,1.1263010589853226,4.024528301886793,0.20510270135154718
2047,DecisionTreeRegressor,ONEK900102,1.0,6.425156924887824,41.282641509433965,0.8979744400383541,5.049056603773585,-0.26140769206621606
2055,DecisionTreeRegressor,OOBM850103,1.0,4.710826550877544,22.191886792452824,1.1247880206915535,3.7566037735849043,0.2333303005834254
2054,DecisionTreeRegressor,OOBM850102,1.0,5.804958843076436,33.69754716981132,1.0236528593600271,4.269811320754718,0.030618903219110205
2053,DecisionTreeRegressor,OOBM850101,1.0,6.151453272072427,37.840377358490564,0.9360758585775246,4.977358490566037,-0.15184308191248985
2052,DecisionTreeRegressor,OOBM770105,1.0,6.110275910146219,37.33547169811321,0.9939662410600842,4.981132075471698,-0.029714554400709803
2051,DecisionTreeRegressor,OOBM770104,1.0,6.052584041953128,36.63377358490566,0.8940992154192754,4.59433962264151,-0.25384000083260116
2050,DecisionTreeRegressor,OOBM770103,1.0,6.4347523445622254,41.406037735849054,0.8677436827695298,4.415094339622642,-0.3529943821584649
2049,DecisionTreeRegressor,OOBM770102,1.0,6.336358099276282,40.14943396226414,0.9406081623405065,4.864150943396226,-0.1453125134067399
2048,DecisionTreeRegressor,OOBM770101,1.0,6.060714821779969,36.7322641509434,1.0121118710555925,4.703773584905661,0.03847128539639444
2046,DecisionTreeRegressor,ONEK900101,1.0,4.828082161530659,23.310377358490562,0.9875564842638476,3.8886792452830186,-0.039496591786195134
2037,DecisionTreeRegressor,NAKH920104,1.0,5.50010291498911,30.251132075471705,0.9198463910486346,4.205660377358491,-0.2045654682418856
2045,DecisionTreeRegressor,OLSK800101,1.0,5.582502989040088,31.164339622641513,0.9806235381652548,4.5943396226415105,-0.05981907364232608
2044,DecisionTreeRegressor,NOZY710101,1.0,5.782798173633689,33.44075471698113,1.071608306752236,4.766037735849057,0.11485343064749953
2043,DecisionTreeRegressor,NISK860101,1.0,5.457866056142497,29.788301886792453,0.9807231457417668,4.19245283018868,-0.057485416391745314
2042,DecisionTreeRegressor,NISK800101,1.0,5.07128430757948,25.717924528301886,1.1496610454001144,4.126415094339623,0.24069738273323416
2041,DecisionTreeRegressor,NAKH920108,1.0,4.538327345436821,20.596415094339626,1.3230428413375206,3.7490566037735853,0.4446302304652441
2040,DecisionTreeRegressor,NAKH920107,1.0,5.947680695899651,35.37490566037736,0.9615911529788825,4.703773584905661,-0.07991581830117767
2039,DecisionTreeRegressor,NAKH920106,1.0,5.681764939716239,32.28245283018868,1.1215820732892585,4.492452830188681,0.19231801561186002
2038,DecisionTreeRegressor,NAKH920105,1.0,5.063744605917864,25.641509433962263,1.0966895492329822,4.271698113207547,0.15857683766856123
2014,DecisionTreeRegressor,NADH010104,1.0,5.1845743625445975,26.879811320754722,1.2040036158060148,4.137735849056605,0.30213065919975224
2013,DecisionTreeRegressor,NADH010103,1.0,5.409600131701572,29.263773584905664,1.0009415170421185,4.381132075471698,-0.0061760159598232
2012,DecisionTreeRegressor,NADH010102,1.0,4.462675396901864,19.91547169811321,1.2283831812227466,3.426415094339622,0.32457108414299674
1979,DecisionTreeRegressor,LIFS790101,1.0,4.352271148600854,18.942264150943398,1.261270241575368,3.6075471698113204,0.3761406402058768
1988,DecisionTreeRegressor,MAXF760106,1.0,4.947021211590318,24.473018867924537,1.064249653018898,3.884905660377358,0.10759540397921064
1987,DecisionTreeRegressor,MAXF760105,1.0,4.5977434990459045,21.13924528301888,1.3529410013135974,3.5886792452830196,0.4745077762380401
1986,DecisionTreeRegressor,MAXF760104,1.0,4.84224725624023,23.447358490566042,1.185650474977046,3.986792452830189,0.28125262819076113
1985,DecisionTreeRegressor,MAXF760103,1.0,5.567544087819271,30.99754716981132,0.9380254310031777,4.352830188679245,0.02468667718171247
1984,DecisionTreeRegressor,MAXF760102,1.0,7.24338344791886,52.46660377358491,0.7561643693869436,5.835849056603773,-0.7805306506329068
1983,DecisionTreeRegressor,MAXF760101,1.0,5.292928710990036,28.015094339622642,1.149340419992202,4.128301886792453,0.22878326466822096
1982,DecisionTreeRegressor,MANP780101,1.0,5.480170084125437,30.032264150943394,1.1641632664227126,4.224528301886792,0.24953033098182353
