,Algorithm,Index,Category,R2,RMSE,MSE,RPD,MAE,Explained Var
407,BaggingRegressor,QIAN880107,sec_struct,0.6585404168834562,3.9617672824132417,15.695600000000002,1.7113165370755268,3.2298113207547168,0.6593367330895996
494,AdaBoostRegressor,ROBB760113,sec_struct,0.6576801110833291,3.33676527850626,11.134002523844957,1.709164775288907,2.618933015586519,0.6576801152149403
119,BaggingRegressor,EISD840101,hydrophobic,0.6573437587161581,3.1369468993045797,9.840435849056613,1.7083257087632964,2.6315094339622656,0.7017476348452454
102,AdaBoostRegressor,CORJ870103,hydrophobic,0.657191722885077,3.578145665687295,12.803126404876778,1.70794684462861,2.862132664225173,0.6711463106861777
550,PLSRegression,WOLS870102,meta,0.6569362645843115,3.755825977302901,14.106228771783293,1.7073108251269318,3.032453094560521,0.7018485255300283
68,RandomForestRegressor,CHAM830105,geometry,0.6560294945799494,3.532885535585208,12.481280207547181,1.7050589461695258,2.7492641509434,0.6670970768912285
427,RandomForestRegressor,QIAN880127,sec_struct,0.6559858081867862,3.555177858247542,12.639289603773577,1.7049506799377576,2.842245283018868,0.6564534319286512
559,RandomForestRegressor,ZHOH040102,observable,0.6554530544865765,3.3158642090456856,10.994955452830169,1.7036320349931169,2.7200943396226407,0.6596218619002279
447,AdaBoostRegressor,RACS820105,geometry,0.6553141491446737,3.518856376993012,12.382350201904385,1.7032887260991885,2.69738085423625,0.6557730989412751
251,AdaBoostRegressor,KIDA850101,hydrophobic,0.6552166494012683,3.2168200941219123,10.347931517946504,1.7030478763660513,2.6483706346928035,0.6566317521459437
6,BaggingRegressor,AURR980103,sec_struct,0.6543179381081745,3.274657983005305,10.723384905660373,1.7008326262692457,2.6449056603773577,0.6825509078489898
493,RandomForestRegressor,ROBB760112,sec_struct,0.6533790368933254,3.409406557668312,11.62405307547169,1.6985275194570015,2.7364339622641483,0.6575639388123966
175,PLSRegression,GEOR030102,sec_struct,0.6530304529352767,3.8190515271234955,14.5851545668243,1.6976740897627738,3.174684976171798,0.6562340760651566
416,BaggingRegressor,QIAN880116,sec_struct,0.6529671508971868,3.5772604675687516,12.796792452830202,1.6975192468835902,2.7494339622641535,0.6547791536559802
217,RandomForestRegressor,JOND920102,composition,0.6527276979805362,3.5193008391193907,12.385478396226453,1.6969339050274088,2.8738679245283048,0.6527450111735424
419,BaggingRegressor,QIAN880119,sec_struct,0.6526120693124067,3.1458262255740443,9.89622264150944,1.6966514678436668,2.4901886792452843,0.6581546275211672
262,BaggingRegressor,KUMS000102,composition,0.6524472140676254,3.8380055748334736,14.73028679245282,1.696249032472569,3.226792452830188,0.6527415892854895
379,AdaBoostRegressor,PLIV810101,hydrophobic,0.6514607024677195,3.7252826094462064,13.877730520242336,1.693846785264388,3.110273412878348,0.6748864579255768
476,RandomForestRegressor,RICJ880112,sec_struct,0.6502933152053292,3.2868801488961457,10.80358111320755,1.691017230924863,2.693528301886792,0.6667124149133465
61,BaggingRegressor,CHAM810101,geometry,0.6501955951538886,3.4544185541375585,11.933007547169813,1.6907810162992576,2.7675471698113205,0.6524384003833676
386,BaggingRegressor,PONP800106,hydrophobic,0.6498994419831313,3.1613601682199293,9.994198113207537,1.690065741665444,2.5703773584905654,0.6634883374648981
358,AdaBoostRegressor,OOBM850104,sec_struct,0.6483112059079741,3.688069645108916,13.601857707173805,1.6862452321780366,3.0637870777369787,0.6497211413766011
347,PLSRegression,OLSK800101,geometry,0.6482711286646625,3.5308372016202605,12.466811344345592,1.6861491610403665,3.0044483309048013,0.6486422452830314
495,AdaBoostRegressor,ROBB790101,hydrophobic,0.6473477821405459,3.1279151313666684,9.783853069032563,1.683940298697859,2.4982612004324753,0.6688332135254866
378,PLSRegression,PARS000102,composition,0.6473084439206118,3.725107401601165,13.876425153463785,1.6838463851068868,2.9753660729628986,0.6560072184263651
78,PLSRegression,CHOP780201,sec_struct,0.6471549308080228,3.748627080321461,14.052204987319405,1.6834800478045966,3.2437659207606693,0.6479858032305709
120,AdaBoostRegressor,EISD860101,hydrophobic,0.6464716693298267,3.6071444768390495,13.011491276790457,1.6818524365538177,2.909827538922336,0.6497713943158123
193,AdaBoostRegressor,GUYH850105,hydrophobic,0.6463605810453246,3.3898967894010013,11.491400242791213,1.681588256761153,2.9496586463849717,0.6465111297468793
441,AdaBoostRegressor,RACS770102,geometry,0.6462759456075007,3.511804359462825,12.332769859142106,1.6813870681920784,2.881897764352157,0.6479409707442567
144,AdaBoostRegressor,FINA770101,sec_struct,0.6453987552507521,3.61950941366442,13.10084839560535,1.6793061254421182,2.8612276349494468,0.6485241051093941
533,RandomForestRegressor,VINM940103,flexibility,0.645348265516985,3.7540263089517545,14.092713528301935,1.6791865845956442,3.0583207547169864,0.6476517943554843
322,AdaBoostRegressor,NAGK730103,sec_struct,0.6452403267925872,3.8263148642120246,14.640685440089884,1.6789311115804997,3.0387364530775542,0.6479765803150279
277,RandomForestRegressor,LEVM780104,sec_struct,0.644670866424647,3.8205350657570554,14.596488188679267,1.6775852212390745,2.9949433962264163,0.6458869800494491
327,AdaBoostRegressor,NAKH900105,composition,0.6445452856925343,3.619091971069786,13.097826695061785,1.6772888529782246,2.7653663364168515,0.6515769998733711
269,RandomForestRegressor,LEVM760103,geometry,0.6444610494682769,3.5645242425142323,12.705833075471661,1.6770901450033977,2.619679245283017,0.6660999205656171
1,DecisionTreeRegressor,ARGP820101,hydrophobic,0.644028004859859,4.036367692733578,16.2922641509434,1.6760697334764614,3.069811320754717,0.6473609129814549
364,PLSRegression,PALJ810105,sec_struct,0.6438711092909439,4.319004285434885,18.6537980176049,1.675700489516201,3.5715785967461318,0.6541521278149198
112,AdaBoostRegressor,CRAJ730103,sec_struct,0.6437740955559723,3.5202084928418387,12.391867833075807,1.675472295790155,2.7278948020554155,0.6438114771457013
190,AdaBoostRegressor,GUYH850102,hydrophobic,0.6428299955750056,3.7898867297262884,14.363241424155426,1.6732564601652933,3.0629603793029165,0.6439445648520931
232,AdaBoostRegressor,KARS160105,meta,0.6417416162884776,3.491020737499443,12.187225789651155,1.6707128729083256,2.8366065627759554,0.6648643413310618
513,RandomForestRegressor,TANS770101,sec_struct,0.6417062976131043,3.8061311783975365,14.486634547169814,1.6706305259127794,3.1649999999999983,0.6421753773344849
565,AdaBoostRegressor,ZIMJ680105,composition,0.6416548117312487,3.738096793409073,13.973367636895196,1.670510506196499,3.0036817621399856,0.6452228615479965
321,BaggingRegressor,NAGK730102,sec_struct,0.6416229115966108,3.823356472653463,14.618054716981131,1.6704361561645067,3.095283018867925,0.6426465718188733
420,BaggingRegressor,QIAN880120,sec_struct,0.6416127053786015,3.5881027203907463,12.874481132075474,1.670412370504108,2.9341509433962263,0.6417535543990434
560,AdaBoostRegressor,ZHOH040103,hydrophobic,0.6413983300251767,3.1287905431618914,9.789330262979284,1.6699130019756911,2.5626586133418323,0.6595878649596689
521,RandomForestRegressor,TANS770109,sec_struct,0.6410839616235711,3.934373017106522,15.479291037735875,1.6691815176895786,3.2890000000000046,0.6462789851670172
259,AdaBoostRegressor,KRIW790103,geometry,0.6410337093888847,3.7174184998813,13.819200303259732,1.6690646779759537,2.9303743494367525,0.6412746759448997
96,AdaBoostRegressor,CIDH920103,hydrophobic,0.6407247736198299,3.640830868219205,13.255649410977812,1.6683469208968602,2.9058233863653777,0.6449932349458883
288,AdaBoostRegressor,MAXF760104,sec_struct,0.6406483467931272,3.944169107810888,15.556469951009731,1.6681694996437535,3.262065311667948,0.6409388670793291
0,AdaBoostRegressor,ANDN920101,observable,0.6403644277829467,3.5722791837036345,12.761178566322306,1.6675108905071223,2.9565128858768523,0.6411327184046198
378,RandomForestRegressor,PARS000102,composition,0.6399810363084164,3.8139869398515915,14.546496377358507,1.6666227709666552,3.1692830188679237,0.6509066528748311
365,AdaBoostRegressor,PALJ810106,sec_struct,0.6399392408316988,3.48371574210563,12.136275371794579,1.666526038244468,2.7306821733224145,0.6400100057652383
239,AdaBoostRegressor,KARS160112,meta,0.6398840167863159,3.6463114547288114,13.295587224886539,1.6663982518611444,3.1451651849498257,0.6486920184276321
108,PLSRegression,COSI940101,polar,0.6398088426907764,3.6187717905590486,13.095509272145947,1.6662243490380393,3.113807165685168,0.6406561821753773
351,AdaBoostRegressor,OOBM770102,geometry,0.6396630539757346,3.614742964422456,13.066366698841641,1.66588724610579,2.7574825450552543,0.6414713256068663
75,AdaBoostRegressor,CHOC760103,hydrophobic,0.6393401095290985,3.5099770647857884,12.31993899532226,1.6651412392230769,3.0727845903633177,0.6393821120338543
124,RandomForestRegressor,FASG760101,geometry,0.6392184846369041,3.319438322003424,11.018670773584905,1.6648605434469357,2.6357547169811317,0.6448289254924817
250,RandomForestRegressor,KHAG800101,meta,0.6388020667274923,3.2237606599207704,10.392632792452801,1.6639005743899755,2.632754716981128,0.6419331823109576
530,PLSRegression,VHEG790101,hydrophobic,0.6386346852998784,3.672208339496267,13.485114088665929,1.6635151772584371,3.0755861673549254,0.6503502185909948
123,AdaBoostRegressor,ENGD860101,hydrophobic,0.6382613099496761,3.8009678370168616,14.44735649803664,1.6626564414696738,3.004742413946239,0.6383456911070702
21,RandomForestRegressor,AURR980118,sec_struct,0.6377322473572475,3.5939780188532056,12.916678000000012,1.6614419106155875,2.9103018867924573,0.6440316187919011
75,RandomForestRegressor,CHOC760103,hydrophobic,0.6374824564928305,3.2703255131965334,10.695028962264166,1.6608694079412258,2.6758301886792473,0.6433573931416623
100,RandomForestRegressor,CORJ870101,hydrophobic,0.6373961145454179,3.2485157859122,10.55285481132076,1.6606716560106978,2.642622641509434,0.638173711013589
224,RandomForestRegressor,KANM800104,sec_struct,0.6372903567182816,3.3574108173153974,11.272207396226444,1.6604295314443986,2.6056603773584928,0.6391089663318947
159,AdaBoostRegressor,FUKS010110,composition,0.6370837686431261,3.504958829292101,12.28473639503265,1.659956868965628,2.646635325770835,0.6398262399903311
268,PLSRegression,LEVM760102,geometry,0.6363892060276928,3.4788286431146096,12.10224872815464,1.6583707016775653,3.0618227871696537,0.6364292282161923
469,AdaBoostRegressor,RICJ880105,sec_struct,0.6362887139814715,3.6154635180549217,13.071576450386074,1.6581415850889352,2.5573953783542858,0.6410925932861534
86,PLSRegression,CHOP780209,sec_struct,0.6362358734356455,3.206226558905556,10.279888747031363,1.658021149507097,2.6014382751813883,0.6481692107471588
525,PLSRegression,VASM830101,meta,0.6360759004468375,3.3367112228743934,11.133641784855934,1.6576566947295983,2.738231504556441,0.6375930467969914
561,RandomForestRegressor,ZIMJ680101,hydrophobic,0.6359289557724113,3.747210826886056,14.041588981132078,1.6573221330957009,3.100075471698112,0.6366749535390359
157,DecisionTreeRegressor,FUKS010108,composition,0.6349491961354204,3.7140477842101367,13.794150943396225,1.6550965958655637,3.175471698113208,0.6504023326911208
210,RandomForestRegressor,JANJ780102,hydrophobic,0.6347860375792964,3.4381967904428232,11.821197169811327,1.654726849133979,2.690792452830192,0.6376065876943737
132,RandomForestRegressor,FAUJ880102,geometry,0.6347777489418633,4.0662859415553365,16.534681358490566,1.6547080721992746,3.4911320754716963,0.635433503722449
361,RandomForestRegressor,PALJ810102,sec_struct,0.6346942062321614,3.835223031078277,14.708935698113248,1.6545188516846747,3.059207547169813,0.6462139210423002
442,RandomForestRegressor,RACS770103,geometry,0.6342387209299845,3.982723790630331,15.862088792452836,1.65348833830448,3.0867169811320743,0.6342488351307295
351,RandomForestRegressor,OOBM770102,geometry,0.6337698203601172,3.5886447986065813,12.878371490566071,1.6524294824321493,2.850245283018868,0.6368345348268154
211,AdaBoostRegressor,JANJ780103,hydrophobic,0.6337058089187082,3.171395176570877,10.057747365977027,1.652285091643125,2.6025384658644315,0.660385869888563
491,RandomForestRegressor,ROBB760110,sec_struct,0.6324697254587,3.5764856261366744,12.791249433962241,1.6495042562474973,2.939169811320754,0.6391304531376812
272,RandomForestRegressor,LEVM760106,geometry,0.6320595266533902,3.574346318387964,12.775951603773596,1.6485845240986672,2.9877924528301887,0.6330069638912832
395,PLSRegression,PRAM900103,sec_struct,0.6320037495388158,3.754722048997686,14.097937665229384,1.6484595815586682,3.163164903178387,0.6329980023403504
279,AdaBoostRegressor,LEVM780106,sec_struct,0.6317642904648718,3.8480141329684137,14.807212767524655,1.647923508075192,2.9409497156807056,0.6334820358223725
39,AdaBoostRegressor,BEGF750103,sec_struct,0.6317475434810225,3.7875001137384015,14.345157111568401,1.647886036414571,2.9539511407272543,0.6673128204300465
33,RandomForestRegressor,BAEK050101,flexibility,0.6316762825509746,3.8956182956830356,15.175841905660402,1.6477266174490646,3.1388867924528325,0.6318583950432739
527,AdaBoostRegressor,VASM830103,meta,0.6316218885762535,3.515413522663098,12.358132235322573,1.6476049629506626,2.9346920231245615,0.6316540153183671
249,PLSRegression,KARS160122,meta,0.6316008122963581,3.476227405332647,12.084156973585749,1.647557832173515,2.9473281881033238,0.6356700836347889
292,RandomForestRegressor,MEEJ800101,hydrophobic,0.6315509531572385,3.799084763168084,14.433045037735894,1.6474463532660777,3.034471698113212,0.6331815746683602
93,RandomForestRegressor,CHOP780216,sec_struct,0.6315040314153579,3.6355036089331634,13.216886490566056,1.6473414626837606,2.843169811320757,0.6369788527962872
151,AdaBoostRegressor,FUKS010102,composition,0.6313544864347019,3.0262083092771666,9.15793673113817,1.647007297982216,2.477936888568167,0.6425999846851279
276,PLSRegression,LEVM780103,sec_struct,0.6313521419077914,3.5878329653640564,12.872545387353039,1.6470020606547957,2.9136902155086557,0.6319975024655605
219,AdaBoostRegressor,JUNJ780101,composition,0.6312581157408175,3.6551258664187936,13.359945099363742,1.646792061234167,2.8950898492486368,0.6312581291130794
